en	kana	kanji	空念	八雲	長万部	幌別	平取	貫気別	新冠	様似	帯広	釧路	美幌	旭川	名寄	宗谷	落帆	多蘭泊	真岡	白浦	ライチシカ	内路	沙流	千島	占守	幌筵	南千島	弥満別	白浜	新問	多来加	智来	鵜城	根室	千歳	屈斜路	近文	穂別	礼文	足寄	天塩	虻田	白老	富内	春採	十勝	鵡川	有珠	白糠	静内	日高	虹別	荻伏	浦河	斜里	阿寒	伏古	厚真	北見	網走	室蘭	白主	高島	広尾	相浜	芽室	塘路	布伏内	江部乙	萩野	白人	幌満	択捉	音更	高江	三石	藻琴	豊浦
esophagus	しょくどう	食道		iperekut		iperekut(c-i)							ipesewri	ipesewri	iperekut			nisikuci		pisecara(caru)	rekuhpuyhe		iperekut,-ci						pise-cara(食道)				muhcara(caru)			ipesewri	ipesewri																																									
windpipe,trachea	きかん	気管		sewri,(-hi)																sewreh	sewreh,-pihi		heserekut,-ci,hesepuy(-e)		kotammau(空気)((M1892))				seureh(気管)								hesesewri																																									
to,breathe	いきをする	息をする		hese		hese					hese	hese(息をする)	hese	hese,,tasmak,《あえぐ》	hese	hese					heese		hese																																																							
to,sigh	ためいきをつく	ため息をつく		heseturiri(安心した時等),tanne,”		heseturiri(安心して),yayhesere(ほっと安心して),hussaomante(心配事があって)					heseturiri		yaytasekar	tanne,hese,,taspare(はぁっと)	mawsok(心配のあまり),tanne,hese,(長く息をつめていた後)	,hese,turiri《息をつく一服する》				otanehese(-an)	sitasoturi[老],tanne,heese,koomante(安心して,あるいはえらい相談を始める時,大息をつく)		heseturi《はぁっと息を吐く》,heseturiri(ほっと安心して),tannehesearpare《大息をつく》,heseturiri(-an)		keysi(彼はため息をつく),keysi(彼はため息をついた),tah-keysi(彼はため息をついた)				otanese《溜息、ためいき》								heseturiri(-an)																																									
to,blow,[with,the,lips]	ふく	吹く		uku							uku	as《(雨や雪が)降る、(風が)吹く》	uku	uku	uku	uku,,ewar,(火を)				otanehese(-an)	ewara		ewar		apuku(吹く,),uku(吹く,),ukukocari(吹く,)				epuruse《口に含み又は噛んで吹きかける》				tanne,sitasiomante,yaytasiomante																																													
to,cough	せきをする	咳をする		omke		omke					omke	omke(咳をする)	omke	omke	omke	onke			onke	onke,emawsahonke	onke		omke,niseomke,omawsakomke,sirekutkar(-an),siwnuomke		fyashina,(咳嗽,140),ijomki(咳),iomkewa(咳をする),komki(咳をする),komke-wa(咳)				onke(咳,せき、咳ばらい)																																																	
to,clear,ones,throat	せきばらいする	咳払いする		simsiskar,,sirekutkar								omke《咳をする》		sirekutcara	sirekutkar						sirekuhkara		sirekutkar,,simusiska,(挨拶として)						onke(咳,せき、咳ばらい)								rekucicarara				sikutsapke																																					
phlegm	たん	痰		rat,-ci		rat,-ci					rat,,ratkar,《たんをはく》		omkerat,rat,etuk	rat	rat	onke,rat				onkerah(-tu)	onkenrah,-tuhu		ratkar《たんをはく》,itastuyep,rikin,rat,siri,okokpa						rah(痰、たん)	onkerah(-tu)			siwninonkerah(c-i)																																													
sneeze	くしゃみ	くしゃみ		esna,[動]		esna,koetuo					esna		esna	esna	esna	esna				esina(-an)	esna		esna,koetuo						eśna(嚏、くしゃみ)				esina(-an)	esiwna?(クスヤミ|[口を吹いてエシウナと言う])																																												
hiccup	しゃっくり	しゃっくり		yonkur		yonkor					yomkur		yonkor	yomkor	yomkor	yonkor				yonkoro(-an)	yonkoro		yomkur						yonkoro(吃逆),kahtay-takara(吃逆)				yonkoro(-an)				yomkor(-an)																																									
yawn	あくび	あくび		mawsok,[動]		mawsok,mawsok(-an),yayturiri(-an)					mawsok		mawsok,mawsok(-an),simawsokka(-an)	mawsup	mawsok	mawsok,[動]				mawsuh(k-an)	mawsoh,-kihi		mawsok,mawsok(-an)		eyakomaushike,(140),emaugiak(あくび),imawsaken(あくび),mawsaken(私はあくびをする)				maisuh(欠伸する)							mawsok(-an)	mawsuk(-an)																				mawsok(-an)																					
belch	げっぷ	げっぷ		ikmawre,[動]		ikmawre			iknawre(-an)		ikmawre		ismawre	ikmawre	sekorke,ikmawre	ohayokke,[動]				akura(-an)	akura		ikmawre						akura(噯気)																																																	
to,vomit,to,puke	はく	吐く		atu,atu,eatu,eraun(食べすぎて),eatup《へど》	atu	atu,atu,eatup《へど》	atu	atu	atu,ohayotke(-an)	akur	atu,atu,eatu	atu	atu,atu,eatu,ohaokke	atu,atu,eatup《へど》	atu,atu,ohayotke(吐出物なしに),eatup《へど》	atu,atu	sekoose	atu	atu	atu,aturusuyran(an-)koro	atu,atu,atuh,-pihi《へど》	atu	atu,eatu,ehetkosanpa(急に),ohayotke(-an)						atu(嘔吐)																																																	
shoulder	かた	肩		kukew,tap		tapsut					kukew	tap(腕、肩),tapsutu(肩(かた))	kukew	kukewe	kukew,takup(-i)	tapkerkewhe					takuh,-pihi		tapsut,tapsut(-u),merit						tapera(肩)		tapsut(-u)			tapsus?(肩|[取った物を担ぐ])		taputur(-u)																																										
shoulder-blade,scapula	けんこうこつ	肩胛骨		tapera,(-ha)							tapera		tapera,tapera,taperapone	tapera	tapera			takuhponi	tapera,taperaponi	tapera,taperaponi	tapera,-ha		tapere,(-he)		tapira(肩甲骨)								tahriponi			tapera,taperapone																																										
armpit	わきのした	脇の下		yatu,(-hu),yatupok,(-i),《胴の横の部分》		yaytopok,yarpok,[雅],tempok,[雅],yaytopok(-i)					yatupok	teksam(横、脇(わき)、傍(そば・かたわら)),tessam(の横※、脇(わき)),teksamake(傍(そば・かたわら)※)	atupok,atopok(-i),hatupok(-i)	yatuypoki,(N),yatoypoki,(H)	yarpok,yatupok	yarekepoke,-he		yaytupoh(k-i)		yarapoh(k-i),yatu,siarakipoh(k-i),yarakipoh(k-i),yarikipuy(-he),yatupoh(k-i)	yarakepoh,-kihi		yatu,(-hu),yatupok(ke)						yara-poh(腋、わき),yariki-puy(腋窩),yatu(腋、わき),yatu-poh(腋窩)		yatu		yarapoh(k-i)			atopok(-i)	hancikoko,yatupok(-i)				hatupok(-i)																																					
hand,and,arm	て	手		tek		tek,,mon,[合成語中],,aske["]					tek	tek(手)	tek	tek	tek	tekhe		parakiteh(k-i)			teh,-kihi		tek		teke,(137)		tek(手)		mon(手),teh(手)					tek(手)																	paratek(-e)					monike																						
arm	うで	腕		tapsut,tapsut,,tap	tapsut	tek,tek,,tem,《両腕》	tek	tek	tek	tek	tapsut,tapsut	tek,tap(腕、肩)	tapsut,tapsut,makuntapsut(-u),sanketapsut(-u)	tek,tek(he)	tek,tek,,tap,《上膊(?)》	tek	tahsuh	tek	teh	teh,amunin(-i)	teh,teh,-kihi	tek	amunin,,tem,[合成語中],makunamunin(-i)						amunin(腕)								makuntapsut(-u),sanketapsut(-u),santapsut(-u)				sanketapsut(-u)										amunin(-i),tekosmak(-e)																											
upper,arm	じょうはく	上膊		makun,tapsut		makun,sittok,,makuntek							makun,tapsut	tapsut	tapsut,,makuntapsut	tapsuthu					tennikoro		makun()amunin																																																							
forearm	かはく	下膊		amunnin		sanke,sittok,amunin					amunin		sawun,tapsut	sanke,tapsut	tapsut,sanke,tapsut						tahsuh,-tuhu		sawun()amunin						amunin(前膊)																																																	
elbow	ひじ	肘		sittok		sittok					sittokew	sittokew(肘(ひじ)),sittokewe(肘(ひじ))	sittokkew	sittoki	sittok	sitokkewhe				sistoh(k-i),tehkumusi	sistoh,-kihi		sittok		komuta,(138),komta(肘)				sitoh(肘、ひぢ),tekumuši(肘、ひぢ)		sittok(-i)																																															
wrist	てくび	手首		tekkup		tekukot,-ci,tekkup,(両方とも同じく使う),tekkup(-i)					tekkutnin		tekkussut,tekkutunin(-i),tekunin(-i)	tekkutnini	tekkutnin,tekukot	tekkucike,-he				tehkuci,tehkuciki,tekahkuci,tekahkuciki	tehkuci(ke,-he)		tekukot,-ci						mosispe(手首),tek-ahkučih(手くび、腕関節部),teh-kučih(手首。)		tekkuci					tekkuci,tekkucike,tekkutunin(-i)	tekkuci,tekikre,tekkucike,tekukoci				amuynin(-i)			tekahkuci,tekahkuciki																																		
pulse,of,the,wrist	てのみゃく	手の脈		teksanpe,(-he),,hesehese,《脈うつ》		teksanpe,(-he)					teksanpe		tessanpe	teksanpe	teksanpe	teksanpe					tehsanpe,-he		teksanpe											aya《手筋|[波形]》																																												
hand	て	手		paratek,paratek	tek	tek	paratek	paratek	paratek	tek	paratek,paratek	tek,tek(手)	paratek,paratek	tek	tek	paratek	teh	tek	teh	parakita	parakita,parakita,-ha	tek	paratek		paruteki,(手の長さ,127)		tek(手)		mon(手),teh(手)					tek(手)																																												
back,of,the,hand	てのこう	手の甲		tekmekka,teksetur		tekmekka,-si(ke)					tekmekka		tekmekka	tekmekka	tekmekka	tek(e)mekkàske,-he				parateh(k-i)	tehmeriska,-ha		tekmekka,-si,paratek(-e)						asiketoro(手の甲、てのひら),parakita(手甲、手背),paratek(手背),toh-setur(手背、手の甲)	parakita						paratek(-e),tekmekka(-si-si-ke)	tekmekka(-si-si-ke)														parateksetur(-u)																											
palm,[of,the,hand]	てのひら	掌		tekkotor		tekkotor,tekkotor(to)					tekkotor	paratek(手のひら)	tekkotor	tekkotor	tekkotor	tekkotor(ho)				asiketoro,tehkotoro	tehkotoro,-ho		tekkotor,tekkotor(to)		tekuwaru,(139),tekur(手のひら)				asiketoro(手の甲、てのひら),teh-kotoro(手掌)					tekkotor(掌|[手の内の間])			tekkotor(to)																																									
fist	こぶし	拳		hankup		teknum,tekutappa,《…をにぎる》,tekutoppare,《》,rumuysutu							teksitu	moysitu,(N),moysut,(H)	teknum	mosito					monutapu(re),teh,-kihi		場合により,teknum,と言うことがある,teknum(-i),teknumtek(-e)		teketu(拳)											askor(-i)																																										
finger	ゆび	指		tekpet,-ci		aspeket,-ci,aspeket(c-i)					askepet,-ci	akkepet(指),askepet(指)	askepet,-ci	askepet,-ci	askepet,-ci	askepet,-ci		pompeh(c-i)	pompeh(c-i)	mompeh(c-i)	monpeh,-cihi		askepet,-ci		ashikibit,(139)		askepet(指)		mompeh(指),pompeh(指)			pompeh(c-i)				akkepet(c-i)	askepet(c-i)																					askepet(c-i)																				
thumb	おやゆび	親指		ruwetekpet		ruyeaspeket,-ci,poroaspeket,-ci					ruyeaskepet,-ci		onneaskepet,-ci	ruwe,askepeci,(N),onne,askepeci,(H)	ruwe,askepeci	rue,askèpeci			ruwepompeh(c-i)	poromompeh(c-i),ruwemompeh(c-i)	poro,monpeh,-cihi		ruweaskepet,-ci		pora,shikibit,(139),poriskipet(親指)				poro-mompeh(拇指)					ruyeakkempe(大指|[食べ始めに舐める])		ruyakkepet(c-i)	onneaskepet(c-i)				poroaskepet(c-i)				onneakkepet(c-i),ruyakkepet(c-i)																																	
index,finger	ひとさしゆび	人差指		itankikemtekpet		yakaaspeket,-ci,,itankikemaspeket,-ci					itankikemas,kepet,-ci,,itankikenpe		itankikemas,kepet,-ci	sukem,askepeci	yaka,askepeci,,ikem-(~itankikem-)askepeci,[稀]	itankikenpe			ikempompeh(c-i)	ikemmompeh(c-i)	ikeemonpeh,-cihi		itankikemaskepet,-ci,,yakaaskepet,-ci		moraruke,(139)				ikem-mompeh(人差指)					itankempe(人指|[椀を舐める])		itankikempe	itankikemaskepet(c-i)																																									
middle,finger	なかゆび	中指		sinnoskitekpet		sinnoskeaspeket,-ci,,tanneaspeket,-ci					sinnoskiaskepet,-ci		ruyeaskepet,-ci	suke,askepeci,(N),tanne,askepeci,(H)	sinnoske,askepeci	nosikeke,askepeci		inoskopompeh(c-i)		inoskunmompeh(c-i)	inoskiun,monpeh,-cihi		noskiaskepet,-ci		shikonkep,(139)				inosikun-mompeh(中指)			noskunmompeh(c-i)		noskepeci(中指|[中指])		sinnoskeakkepet,sinnoskianakkepet(c-i)	noskeunaskepet(c-i),noskiketaan,askepet(c-i)							noskomompeh(c-i)																																		
third,finger,ring,finger	くすりゆび	薬指		nimawkartekpet		kusuriaspeket,-ci,kusuriaspeket(c-i)					otutanuaskepet,-ci			imekani,askepeci	otutanu,askepeci,,uturuaskepeci(《人差指》も)	kusuri,askepeci		inoskohtutanupompeh(c-i)		yuturuhumompeh(c-i)	hahkomonpeh,nannaha		otutanuaskepet,-ci		hashikonkep(139)				yuturubu-mompeh(薬指)					sumkempe(薬指|[油をなめる指])		ponakkepetotutanumpe	ponaskepettutanuaskepet(c-i)																																									
little,finger	こゆび	小指		pontekpet		ponaspeket,-ci					ponaskepet,-ci		ponaskepet,-ci	pon,askepeci	pon,askepeci	pon,askepeci		hacikopompeh(c-i)	hacikopompeh(c-i)	hacikomompeh(c-i),hahkamompeh(c-i),ponmompeh(c-i)	hahkomonpeh,-cihi		ponaskepet,-ci		ononashi,kep,(139),onono[a]skepet(小指)				haciko-mompeh(小指),hahka-mompeh(小指)		hakkamompet(c-i)		hacikomompeh(c-i)			ponakkepet(c-i)	ponaskepet(c-i)				ponaskepet(c-i)				ponakkepet(c-i)																																	
knuckle	ふし	ふし		tekpethom		aspeketukot,-ci					askepetikra		tek,ikra	tek,ikra,,ikihi	tek,ikre	uweusike,-he					monpeh,isricihi		tek()ikre,,askepetikre																																																							
fingernail,or,toenail	つめ	爪		am,am,tekpetam,《手の爪》,tekmom,《指の尖》	am	am,am	am	am	am	am	am,am	am,am(爪(つめ))	ham,am	am,amhi,tek,momihi,《指の尖(爪の反対側)》	am,am,tekam,《手の爪》	am,amhi	aɴ,-m	am	am	am	am,amhi	am	am		am,(139),am(爪),amikir(爪)		am(爪)		am(爪)				osike,amihicin	am(爪)							kerat(c-i)																																					
breast,the,chest	むね	胸		penram,penram	penram	penram,penram	penram	penram	penram	penram	penram,penram	penram,penram(胸)	rerar,rerar,penram(前・後・中とも含めて),tuarukam(-i)	penram,penram	rerar,penram,(胸及びその上),panram,(腹及びその下)	rerar,rerarhu,ramkasike,(乳のところ)	raɴ,-m	ram,reraru,rankotoro	ram,ranka	ram,ranka,rerara(reraru)	reraru,reraru,-hu	ranka	penram,raprap		tui,(140),ramka(胸),tuyar(胸)				ahsere(胸),ram(胸),ranka(胸)		terar(-u)		uhonnayke		tuyaru	numatkam(-i),tuarukam(-i)																																										
breasts,[of,woman]	ちぶさ	乳房	totto	totto,(-ho),tokap,(年とった女の),tottopusa,(たれたもの)		to,(-ho),totto,tokap,(老婆の)					tokap	kapu(乳房、おちち)	kap	tokap,(N,H),totto,(N)	to,(若い女の),tokap,(年とった女の),totto,[児],mamma,[児]	totto,-ho					too,-ho		totto,(-ho),(ふつうこれを使う),rerar,(正式な言い方)		nonāka,(乳,139)				to(乳房、乳腺)					tokap(乳|[二つ並ぶ皮の袋])																																												
nipple	ちくび	乳首		tottomom,,tomom		tonum							tokapetu	tomomi	tomom					toemon(m-i),tonun(m-i)	toemomhi		tottonum,ratkito,rerannum,rerar(-u),tonum(-i)						tonun(乳嘴)																																																	
milk	ちち	乳		tope,tope,(-he)	tope	tope,tope	tope	tope	tope	tope	tope,tope	tope,kapu《乳房、おちち》	tope,tope	tope,tokap,tope	tope,tope	tope,tope	toope	toope	toope	toope	toope,toope,-he	toope	tope		tope《牛乳》				tope(乳汁)					tope(乳汁|[甘い])																																												
to,suck,milk,to,take,the,breast	ちちをのむ	乳を飲む		tonon,,totto,ki,,totto,numnum,(しゃぶりながら)		tonon,,mokoripe,(寝ていて)					tonon		kap,e,,to,num,,to,e	tonon	tonon	nonnon,《しゃぶる》				toe	toee		tonon,,totto,e						tope-e-kari《乳を飲ませる、授乳する》,utoeri《依頼されて他人の乳呑児に乳を飲ませる》																																																	
collarbone,clavicle	さこつ	鎖骨		ninkewpone		kukew					ikapone		mutcarpone,kukew(-e	itura,pone				kukewponi	kukewponi	kukew(-e	tarahponi,-hi		kukew						ku-kew(鎖骨)							kukew(-e																																										
ribs	あばらぼね	あばらぼね		ut,-ci,,utpone		utpone,(-he),ponut(c-i),utnit(c-i)					ut,-ci,,utrat,-ci		utpone	ut,-cihi,,ponut(一番下の遊離したもの)	utpone,,tehur(魚の)	utpone,-he		utusponi	uh(c-i),uhponi,utusponi	uh(c-i),uhponi,tehuru,tehuruponi	uh,-cihi(一本),uhnisoro,-ho(全体)		utnit,-ci,,penrampone,(-he),utnit(c-i)						tehuru(肋骨、あばら),tehuru-poni(肋骨、あばらぼね)		teur(-i),teurpone				mout(c-i)	hut(c-i),hutpone,tekusi	ut(c-i)														ut(c-i),utpone				hut(c-i)																							
breastbone,sternum	むないた	胸板		rerar,,penramkaske		rerar,,kotor,,muk[合成語中]					rerar		rerar		rar,rerar(外側のみ)						ranka,-ha		,rerar,は《乳房》						kotoro(胸部、むないた)																																																	
heart	しんぞう	心臓		sanpe,sanpe,(-he)	sanpe	sanpe,sanpe,(-he)	sanpe	sanpe	sanpe	sanpe	sanpe,sanpe	sanpe,sanpe(心臓、心、気分),yukram(心臓)	sanpe,sanpe	sanpe,sanpe	sanpe,sanpe	sanpe,sanpe,-he	sanpe	sanpe	sanpe	sanpe	sanpe,sanpe,-he	sanpe	sanpe,(-he)						ram(心臓),sampe(心臓)					sampe(心|[本案の物])																																												
to,throb	どうきがする	動悸がする		toktokse,,sanpe,terketerke		toktokse					toktokse		rinrimse	toktokse	toktokse						tohtohse		toktokse,,tokse,《鼓動をうつ》						ramtohtohse(動悸),sampe-araka(心臓悸進),sampe-tohtohse(胸苦しく動悸を伴ふ病)																																																	
lungs	はいぞう	肺臓		yukram,,kosnehuype,(熊の)		yukram,hesepuyra					yukram		hurram,(?),huype,hutram(-i-u)	yukram,(アイヌ和名,akahu)	yukram	忘れた			hapah(p-i)	hapah(p-i),puareh(p-i),pusteh(p-i)	hapah,-puhu		yukram,hesepuyra		pa[k/g]kane(肺)				pušteh(肺),pušteh(肺)		hapap(-i),sampeyukram(-i)		hapah(p-i)																						utram(-i-u)																							
belly,stomack	はら	腹		hon,hon,,cup,《下腹》	hon	hon,hon,cupor(-o)	hon	hon	hon	hon	hon,hon	pise,honi(腹、お腹),pise(腹(はら)、おなか)	on,pise,,honi〜oni	hon,honi	hon,hon,(honkor,《はらんだ》)	hon,honhi	hon	hon	hon	hon	hon,honhi	hon	hon,cupor(-o)		tui,(138),tuy(腹)				hon(腹)					hon(腹|[骨がない])																																												
guts,intestines	はらわた	はらわた		tuyoromap,tuy,tuyoromap,kankan,[卑?]《腸》,tuy《腹の中》,hon,oske《》	tuy	tuy,oskeop,tuy,oskeop	ossikeop,kankan	tuy,kankan	tuyorop	cuy(肝臓など),kankan(腸)	tuy,kankan,tuy	oske,tuy(小腸),tuy(腸)	oske(腹の中),tuy(動物の腸),kankan《腸》,tuy《動物の腸》,ramor《腹の中》,anetuy(-e),ruwetuy(-e)	oske,tuy(小腸),oskehe,,tuy,《小腸》,,ruwetuy,《大腸》	oske,tuy,oske,,tuy	tuy(熊の),tuykonpy(鮭,人間),tuyhe,,tuysayhe	ramoro	tuworop,ramoro(腸)	tuyoroh,ramoro(腸)	cuporoh,tuyoroh,hanuka,motuy(-he),pisehanuka,ramoro,ramoroaraka,siotuy(-he)	tuyoroh,cuporoh[老],tuyoroh,-pihi(人間や獣の),tuyhe(魚の),ramoro,-ho~-ihi,《腸》	ramoro	ossikeop,kankan《腸》,anekankan《小腸》,ruwekankan《大腸》,anekankan(-i),anetuy(-e),ruwekankan(-i),ruwetuy(-e)		kankan(腸)				čuporoh(内臓),ramor(小腸),ramoro-kay(腸),tuy(腸)				hanuka,siotuyramoro,tuyhecinoypa				ceptuy(-e),tuypise				anetuy(-e),ruwetuy(-e)				yospe										anekankan(-i),onnekankan(-i)		cituykocap(-i)										yospe											
the,stomach,proper	い	胃		mawap		yospe,(-he)					sanpe,(-he),(外から感じる胃),yospe,(-he),(具体的な胃袋)		yospe	yospe	yospe	pise,-he		pisekap(-u),popera		tuy(-he)	pise,-he		sanpe,(-he),(外から感じる胃),yospe,(-he),(動物の胃袋),ipepise,(-he),(人間の胃袋)		ramurumpe(胃)				čus(胃),pise(胃),pise-kap(胃)		pisekap(-u)		pisekap(-u)			maop(-i),yospe									mawap(-i),yospe												yospe																					
liver	かんぞう	肝臓		kunne,ra,ra,(-ha),kunne,ra,huype,(-he),kunnehuype,(熊等の)	kunne,huype	kinop,kinop,ra,(魚の)	huype	huype	huype	ra	ra,ra,(-ha)	ra	ra,ra	ra,ra,siwpe《胆嚢》,cup《すい臓》,kinopi《腎臓》,cokokop《脾臓》,pise《膀胱》	ra,ra	ra,ra,(-ha)	huy	uraka	uraka	uraka,huy(-he),uraka	uraka,uraka,-ha(人間・獣・魚の)	teput	huype,(-he),(?),kinop,(?)《腎臓(?)》,(ra,-ha《魚のはらわたの中のあぶら》)						huy(uraka,魚の肝臓),tepući(肝臓),uraka(肝臓,)		tepuci			ninke/ninki《胆|[干す事ある]》																							rahuype																					
navel,bellybutton	へそ	臍		hanku,hanku,(-hu),hankupuy	hanku	hanku,hanku,(-hu),hanku	hanku	hanku	hanku	hankapuy	hankapuy,hankapuy	hankapuy	hankapuy,hankapuy,hankapuy(-e	hankopi,hankopi,hanko	hanku,hanku,hanku	hankapuy,hanka	haɴkapuy	hankapuy	hankapuy	hankapuy,hanka	hanku,hanku,-hu,hanka,-ha,[老],hankapuyhe《へその穴》	hankapuy	hanku,(-hu),hanku		kanko,(139)				hanka(臍)					hankapuy(臍|[底筋糸?の穴])		ankapuy(-e),hankapuy(-e	hanku																																									
[the,whole],back	せなか	背中		setur,setur	setur	setur,setur	setur	setur	setur	secur	setur,setur	setur,serimake《背後》	setur,setur	setur,seturu	setur,seturu,-hu	setur,seturhu	seturu	seturi	seturu	seturu	menay,menayhe,,seturu,-hu~-ihi	seturu	setur		humgin(138)				setur(背部、せなか)					setur(脊|[広い間に堺をする])																																												
