en	kana	kanji	空念	八雲	長万部	幌別	平取	貫気別	新冠	様似	帯広	釧路	美幌	旭川	名寄	宗谷	落帆	多蘭泊	真岡	白浦	ライチシカ	内路	沙流	千島	占守	幌筵	南千島	弥満別	白浜	新問	多来加	智来	鵜城	根室	千歳	屈斜路	近文	穂別	礼文	足寄	天塩	虻田	白老	富内	春採	十勝	鵡川	有珠	白糠	静内	日高	虹別	荻伏	浦河	斜里	阿寒	伏古	厚真	北見	網走	室蘭	白主	高島	広尾	相浜	芽室	塘路	布伏内	江部乙	萩野	白人	幌満	択捉	音更	高江	三石	藻琴	豊浦
lips	くちびる	唇		paksar,paksar,,papus	paksar	papus,papus,,patoy	patoy	patoy	patoy	capus	capus,capus	capus,capus(-i)	capus,capus	capus,capus	papus,capus,patoy,papus,,capus,,patoy,(口の中の目に見えない部分をも含む)	capus,capuske,-he	caapus	caapus	caapus	caapus,catoy(-e)	caapus,caapushi,,caatoyhe,《下唇の内側》	caapus	patoy,,pakisar,《口角》,patcake,patoy(-e),sanca		chātoi(138),catoy(唇),chatoy《リップ》,catoykir《リップ》		capus(唇)		ċapus(口唇),ċatoy(口唇),sanca(口唇)					capus(唇|[上唇])	patoy(-e)											capus(-i)					capus(-i)								capus(-i)																			
upper,lip	うわくちびる	上唇		rikunpaksar,,kannapaksar		kannapapus				kannapapus(-i)	kannacapus	horikasiancapus(-i),horikasicapus(-i)	orikasi,capus	orikas,capus	orikasi,capus,,orikasi,patoy	rekuan,capuske				rikuncapus(-i)	riswaan,caapushi		kannapatoy,kannapatoy(-e)		tri-kun-ki,catoy(上唇)				rikun-capus(上唇)					capus(唇|[上唇])	horikasipatoy(e-)		kannapapus(-i)									horikasiancapus(-i),horikasicapus(-i)					horikasiancapus(-i),horikasicapus(-i)								horikasiancapus(-i),horikasicapus(-i)																			
lower,lip	したくちびる	下唇		papkipaksar,,poknapaksar		poknapapus				poknacapus(-i)	poknacapus	horasiancapus(-i),horasiwaancapus(-i)	oran,capus	opoknas,capus	orasi,capus,,orasi,patoy	rawan,capuske				rankecapus(-i)	rawwaan,caapushi		poknapatoy,poknapatoy(-e)		rankicatoy(下唇)				ranke-capus(下唇)					poknacapus(唇|[下唇])	horasipatoy(-e)		poknacapus(-i)									horasiancapus(-i),horasiwaancapus(-i)					horasiancapus(-i),horasiwaancapus(-i)								horasiancapus(-i),horasiwaancapus(-i)																			
tongue	した	舌		parunpe,parunpe,(-he),aw,[丁]	parunpe	parunpe,parunpe,(-he)	parunpe	parunpe	parunpe	parunpe,parumpe	parunpe,parunpe,(-he)	parunpe,awehe(舌),parunpe(舌)	parunpe,parunpe,parumpe	parunpe,parunpe	aw,parunpe,parunpe,awehe,(×awsakと)	aw,awhe	aw	aw	aw	aw	aw,awhe	aw	parunpe,(-he),parumpe		aukʰ,(140)		aw(舌)		aw(舌)					pakurope?(舌|[吐息や味がわかる?])		parumpe	parumpe																																									
tooth,teeth	は	歯	mimak	mimak,mimak	nimak	nimak,nimak	nimak	mimak	mimak	imak	imak,imak	imak,imaki(歯)	imak,imak	nimak,nimak	nimak,nimak	imak,imakhi	imah	imak	imah	imah	imah,imah,-kihi	imak	mimak~nimak		imaku,(120),imak,(140),imak(歯),sinimak(歯)		imak-i(歯)		imah(歯),nim(歯)					imak(歯|[風味する?])																																												
incisors,front-teeth	まえば	前歯		tononmimak,tottomimak		kotcake,un,nimak					etuymak		sawunimak	kotcaketa,an,nimak,tononnimak,(乳歯の前歯で,あとでおちる)	,tononnimak,(旭に同じ)	忘れた,katuwennimak《らんぐい歯》					sankeimah,-kihi		tononmimak						ikupapa-imah(切歯)																																																	
canine,tooth	けんし	犬歯		kitemimak,katuyemimak《糸切り歯》		katuyenimak,tononimak					katuyeimak		ikupaimak,katuyeimak	sikite	sinimak	忘れた					imahkita,-ha		katuyemimak						imah-kitas(犬歯、きば)																																																	
molars,back,teeth	おくば	奥歯		ikuymimak		ikuynimak					ikuyimak		makunimak	ikuynimak,,makunnimak《おやしらず》	ikuynimak,,makunnimak	忘れた					makunimah,-kihi		ikuynimak						inani-imah(臼歯),makun-nimah(臼歯)																																																	
the,gums	はぐき	歯茎		nirus		nirus,nirus(-i)					nirus		niur	niwri	nimakrus,nimakous《歯の根もと》	nirushi				nirus(-i)	niirushi		(mimak-)re,(-he),nimakkursut(-u),nimakrehe,nimaktur(-i)						nirus(歯齦、はぐき)							nirus(-i)	niur(-i)																																									
uvula	のどひこ	喉彦		aypo,(-ho),ponparunpe	aw(-e)	ponparunpe				ponparumpe	ponparunpe		ponparunpe	ponparunpe	ponparunpe	moaw,-he					moawhe		ponparunpe,(-he),ponparumpe														ponparumpe				ponaw(-e)																																					
saliva,spit	つばき	唾		non,non	non	non,non	non	non	non	不明	non,non	nun	non,non	non,non	non,non	non,non	noɴ	non	non	non	non,nonhi	non	non		bharabekoro,(唾140),kuskapar[a?]《唾を吐く》		non(唾液)		kuruki(唾)																																																	
slobber	よだれ	涎		non		non					non		non	noni	,"nonだろう"						enonkus<<よだれをたらす>>		non,eratkus<<よだれをたらす>>						non(涎、よだれ)					topse(涎|[急に吹き出す])																																												
D.,to,spit,it	はきだす	吐き出す		tupse		etopse					uku		etopse	topse,,etopse	topse	topse,ewarは《火を吹く》					etopahse,nonasinke《つばきを吐く》		ewar(息でふっと),etopse(舌を使ってぺっと)		kuskapar[a?]《唾を吐く》		non-e-atu《唾を吐く》		nonašinke《唾を吐く》																																																	
chin	あご	顎		notkir,《あごさき》		notkir					notkir	nokkiri(顎(あご))	nokkir	notkewe,etuhu	notkewetù,,noyapetù,,noyapetòko	notkewhe					nohkirieto̱h,-koho		notkir		not-kyu,(138)				not(顎、あご),nohkih(顎、あご)					notakam(頤ベタ|[厚くやわらかい])																																												
jaw	あご	顎		notkewhe《顎骨》,notpone《》,notarap(魚の)		notkir					noyap	nokkiri(顎(あご))	nokkew《下顎の骨》	notkewe	notkew,noyap(ほほひげのはえる所)	notkewhe					nohkiri,-hi,nohkewhe〜notapuru,-hu(魚の)		(pokna-)notkew						not《顎、あご》,nohkih《顎、あご》																																																	
cheek	ほほ	頬		notakam,noyap,huy,(鮭・鱒の),huykam,(,),kiraykam,(熊の)		huy,nota,notakam《頬肉》					notakam		notakam,noyap,[悪]	notakam	notakam,,huy《魚の頬肉》	notakam(hu)				notarah(p-u)	notankamhi,notapuru,-hu(ほほの内側と外側とを含めて)		notakam(頬骨の部分),notahuy(頬骨の下,やせるとくぼむ所),noyap(顔の側面)		notakam,(138)				notakam(頬、ほほ)		notarap(-u)			notkew(頬|[崎である体])																																												
smile,dimples	えくぼ	えくぼ		paohonto,kotne,,paohonto,pon,kotne		huyekotne,[動]							notakam,suy	makoyanke,,kotne,[動]	聞いたことがない						notankanpuyhe,he,koro,[動]												nanuhupuykoro																																													
cheek,bone	ほほぼね	頬骨		noyappone		notakanpone					notakanpone		notakanpone	tokse,ponehe	kiraypone	notakanpone					kirayponi,-hi		notakanpone						notakam-poni(頬骨)																																																	
beard	ひげ	髭		rek		rek					rek	rek(髭(ひげ))	rek	rekhi	rek	rekhe					reh,-kihi		rek		rek(ひげ),rek《あごひげ》		notkir(ひげ)							rek(髭|[数えるのに三年用いる])																																												
chin-whiskers	あごひげ	顎髭		notkinrek		notkir,ka,us,rek										59,と区別なし					pohnareh,-kihi		59,と区別なし		rek(あごひげ)				reh(顎鬚)																																																	
mustache	くちひげ	口髭		papusrek		patoy,ka,us,rek					eturek		capusi,rek(?),capusrek(-i)			59,と区別なし				causpe,causpenuma,kancauspe	kancauspe,-he		kanpasrek,kampausrek(-i)						ċapus-epetuy(口髭)	causpe	causpe,causpenuma																																															
to,grow,[of,beard]	はえる	生える		tuk		rek-us					rek,us			rek,tukka,(はえかけ),rek,kor,(~us)《ひげをたくわえている》		rek,tukka					sikah,-k		rek,us																																																							
neck	くび	頸		rekut,rekut,-ci	rekut	rekut,rekut,-ci	rekut	rekut	rekut	rekut	onanci,onanci	rekut,rekuci(首),rekut(首)	rekut,rekut,-ci	rekut,rekut,-ci	rekut,rekut,-ci	rekut,rekut,-cihi	rekuh	rekut	rekuh	rekuh	rekuh,rekuh,-cihi	tekut	rekut,-ci						oh(首、くび)					topikut?(首|[呑んで胃に下げる?])																																												
nape,the,back,of,the,neck	えりくび	えりくび		oksut,okkew		oksut					oksut	oksutu(えりくび、うしろくび)	ossut	okkewe	okkew,oksut	okkewhe		ohpuy(-he)		oh(k-i),ohkew(-he),ohsuh(t-u)	ohruru,-hu		okkew,oksut《えりくびから後頭下部にかけての部分》		oksut(うなじ)				okśit(うなじ、首の根),ohkew(首の骨、うなじ)		oktus(-u)	ohturi,okiki(-he)	ohruru(-he)																																													
throat	のど	喉		rekut,-ci(外も中も),kuttom(中),kutcam《のどの入口》,sewripo《のどぼとけ》		rekut,-ci,kutcam(-a)					rekut,-ci,(外),kuttom,(中)	kuttomo(喉(のど))	rekut,-ci,(外),kuttom,(中),kuttom(-o),mutcar(-a)	sewri《咽頭》(外も中も)	sewri,(旭に同じ)	rekut,-cihi				muhcara,penmuhcara,rekuhkuhcara,rekut(c-i),sewrehkurupoh(k-i)	rekuhousi,-kehe,rekutousi,-kehe,[老],rekuhtom《のどぼとけから下の外側の部分》		rekut,-ci(頸部全体.,外も中も),sewri,(-hi)(前側.,外も中も),kuttom(声の出る所としての),rekutpuy《咽喉》,kutcam(-a),kutkes(-e),raunkut(c-i),sewrikurpok(-i)		sekutu,(咽138),serora,(咽口161),pikut(喉)				rekuh(咽腔、のど),seureh-kurupo(咽喉部、のどくび)	sewreh(p-i)	rekut(c-i)			sewre/sewri(咽|[広くない])		mutcar(-a)	kuttom(-o)																																									
